model_key	model_group	seed	direction	src_lang	tgt_lang	split	examples	recall_at_1	recall_at_5	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini	aligned_cosine_mean	margin_mean
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	678	0.001475	0.0059	0.01072	335.0	1.0	0.985156	0.972255	-0.011656
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	1006	0.000994	0.00497	0.007946	495.0	1.0	0.989836	0.971087	-0.008348
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	678	0.00295	0.013274	0.014008	314.0	0.707965	0.959781	0.972255	-0.001429
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	1006	0.001988	0.006958	0.008985	466.0	0.982107	0.981126	0.971087	-0.001794
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	dev	678	0.00295	0.014749	0.015818	273.0	0.982301	0.979533	0.990289	-0.006012
fvt_seed13	third_try_fvt	13	cop->syr	cop	syr	final_test	1006	0.002982	0.008946	0.011557	409.0	0.978131	0.986947	0.989709	-0.006026
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	dev	678	0.0059	0.016224	0.022008	176.0	0.460177	0.922991	0.990289	-0.00102
fvt_seed13	third_try_fvt	13	syr->cop	syr	cop	final_test	1006	0.002982	0.010934	0.015395	240.0	0.715706	0.950647	0.989709	-0.000963
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	dev	678	0.00295	0.00885	0.01391	303.0	0.99705	0.980757	0.990549	-0.006153
fvt_seed17	third_try_fvt	17	cop->syr	cop	syr	final_test	1006	0.001988	0.007952	0.010467	436.0	0.993042	0.988062	0.98993	-0.006237
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	dev	678	0.00295	0.013274	0.017658	193.0	0.396755	0.919909	0.990549	-0.000947
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	1006	0.003976	0.011928	0.01648	265.0	0.564612	0.947227	0.98993	-0.000863
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	678	0.001475	0.011799	0.014215	285.0	0.988201	0.97908	0.990824	-0.00583
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	1006	0.002982	0.008946	0.011236	423.0	0.983101	0.987637	0.990276	-0.005759
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	678	0.00295	0.016224	0.020712	175.0	0.449852	0.914107	0.990824	-0.00084
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	1006	0.002982	0.011928	0.01746	235.0	0.663022	0.942488	0.990276	-0.000803
