run_id	model_key	model_group	seed	direction	split	pair_file	train_bank_examples	eval_examples	prediction_path
retrieval_trainbank_xlmr_base_cop_to_syr	xlmr_base	xlmr_base	baseline	cop->syr	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_xlmr_base_cop_to_syr	xlmr_base	xlmr_base	baseline	cop->syr	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_xlmr_base_syr_to_cop	xlmr_base	xlmr_base	baseline	syr->cop	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_xlmr_base_syr_to_cop	xlmr_base	xlmr_base	baseline	syr->cop	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_xlmr_base_syr_to_cop_final_test_predictions.tsv
retrieval_trainbank_fvt_seed13_cop_to_syr	fvt_seed13	third_try_fvt	13	cop->syr	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_fvt_seed13_cop_to_syr	fvt_seed13	third_try_fvt	13	cop->syr	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_fvt_seed13_syr_to_cop	fvt_seed13	third_try_fvt	13	syr->cop	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_fvt_seed13_syr_to_cop	fvt_seed13	third_try_fvt	13	syr->cop	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed13_syr_to_cop_final_test_predictions.tsv
retrieval_trainbank_fvt_seed17_cop_to_syr	fvt_seed17	third_try_fvt	17	cop->syr	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_fvt_seed17_cop_to_syr	fvt_seed17	third_try_fvt	17	cop->syr	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_fvt_seed17_syr_to_cop	fvt_seed17	third_try_fvt	17	syr->cop	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_fvt_seed17_syr_to_cop	fvt_seed17	third_try_fvt	17	syr->cop	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed17_syr_to_cop_final_test_predictions.tsv
retrieval_trainbank_fvt_seed23_cop_to_syr	fvt_seed23	third_try_fvt	23	cop->syr	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed23_cop_to_syr_dev_predictions.tsv
retrieval_trainbank_fvt_seed23_cop_to_syr	fvt_seed23	third_try_fvt	23	cop->syr	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/cop_to_syr.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed23_cop_to_syr_final_test_predictions.tsv
retrieval_trainbank_fvt_seed23_syr_to_cop	fvt_seed23	third_try_fvt	23	syr->cop	dev	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	678	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed23_syr_to_cop_dev_predictions.tsv
retrieval_trainbank_fvt_seed23_syr_to_cop	fvt_seed23	third_try_fvt	23	syr->cop	final_test	/home/axt/mnt2/jongha/v3_1/translation_pairs/syr_to_cop.tsv	5389	1006	/home/axt/mnt2/jongha/v3_1/retrieval_translation_baseline/retrieval_trainbank_fvt_seed23_syr_to_cop_final_test_predictions.tsv
