requirement	status	required_evidence	current_evidence	next_action
92+10 controlled corpus scope	proven	merge PASS, 92 seen, 10 target, 0 missing dirs	status=PASS; seen=92; target=10; actual_samples=92452251; missing_dirs=0	none
Glot500-style tokenizer expansion	proven_with_caveat	extended tokenizer audit, appended rows, special-token audit, fertility caveat	target_len=368687; novel_tokens=118685; mask=250001->368686; dzo_Tibt caveat documented	keep dzo_Tibt regression visible
vocabulary-extension initialization novelty	intrinsic_result_ready	identity-copy audit, FVT row audit, zero-step FVT vs random result	copied=250002; fvt_rows=118427; mask_diff=0.0; lm_head_tied=True; target_nll_delta_fvt_minus_random=-9.626238	wait for after-MLM comparison before method-final claim
matched training parity contract	ready	generated audit proves v5_random and v5_fvt share corpus, tokenizer, schedule, checkpoint rule, and downstream eligibility	training_parity_audit=training_parity_ready	none
paired MLM training-curve snapshot	ready	generated Trainer-log loss snapshot for v5_random and v5_fvt paired 10K run	training_loss_snapshot=training_loss_snapshot_ready; path=docs/exp/v5/2_training/training_loss_snapshot.md	none
checkpoint selection provenance	ready	generated selected checkpoint manifest with model path, model file, trainer state, and global step	manifest_verdict=matched_v5_checkpoints_ready; path=docs/exp/v5/2_training/05_checkpoint_selection/selected_checkpoint_manifest.md	keep manifest generated before and after checkpoint promotion
matched continued-MLM method comparison	ready	selected v5_random and v5_fvt checkpoints under same tokenizer/corpus/budget	matched MLM gate=ready	wait for both 10K checkpoints, then run `bash scripts/run_v5_post_checkpoint_evals.sh status`; launch the guarded paired wrapper only after post-checkpoint preflight is ready-to-launch
after-MLM intrinsic PPPL result	pending	PPPL parsed for v5_random and v5_fvt	after-MLM PPPL gate=pending; measured=glot500_base,v5_random,xlmr_base	after checkpoint status and post-checkpoint preflight are ready, prefer `SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh pppl`; canonical full rerun remains available without `SKIP_MEASURED=1`
Glot500 downstream replay	partial	all Glot500 metric families measured or explicitly blocked, v5 rows included where runnable	downstream_gate=pending; partial_metrics=pseudoperplexity,ner,pos,roundtrip_alignment; blocked_metrics=none	after checkpoint status and post-checkpoint preflight are ready, prefer `SKIP_MEASURED=1 WITH_PLOTS=1 GPU_RANDOM=0 GPU_FVT=1 bash scripts/run_v5_post_checkpoint_evals.sh downstream` or `all`; keep blockers explicit
Glot500 metric-family fidelity guard	needs_sync	generated audit confirms every Glot500 metric family has requirement, wrapper/mapping, coverage, completion, and table-fidelity accounting	metric_fidelity_audit=metric_fidelity_needs_repair	repair metric fidelity audit before claiming Glot500 downstream protocol completeness
Glot500 metric execution ledger	ready	generated ledger lists every retained Glot500 metric family with measured models, missing v5 rows, coverage, and claim rule	metric_execution_ledger=metric_execution_ledger_current	none
report/PPT metric-family surface completeness	ready	generated audit confirms every retained Glot500 metric family is visible on report/PPT source and rendered handoff surfaces	metric_surface_completeness_audit=metric_surface_completeness_ready	none
post-result report/PPT insertion contract	ready	generated contract confirms every post-checkpoint metric has a table/report/slide insertion path	result_insertion_contract_audit=result_insertion_contract_ready	none
post-result report/PPT patch plan	ready	generated file-by-file patch plan maps parsed metric rows to report/PPT edit targets and claim locks	post_result_patch_plan=post_result_patch_plan_ready_for_execution	none
post-checkpoint operational handoff	ready	generated queue of measured/running/waiting/blocked metric-model rows	measured=24; running=0; waiting_model=0; blocked_data=0	use queue immediately after checkpoint/model status changes
long-eval launch gate safety	ready	human-facing handoff/freeze/acceptance docs expose READY_TO_LAUNCH yes/no and NEXT_COMMAND before any long evaluation command	docs/exp/v5/4_reporting/final_action_dashboard_ko.md; docs/exp/v5/4_reporting/final_handoff_runbook.md; docs/exp/v5/4_reporting/post_checkpoint_trigger_card_ko.md; docs/exp/v5/4_reporting/final_freeze_protocol_ko.md; docs/exp/v5/4_reporting/final_goal_acceptance_rubric_ko.md	none
result traceability	needs_sync	aggregation rows have stable schema and are synchronized into reporting tables	aggregation_schema=aggregation_schema_ready; table_sync_audit not ready	rerun refresh and update tables after every new metric output
report/PPT overclaim surface guard	ready	generated audit scans report/PPT surfaces for unguarded full-Glot500, after-MLM, downstream, and target10 downstream overclaims	surface_overclaim_audit=surface_overclaim_guard_ready	none
visual evidence package	ready	figure manifest, caption file, and generated visual assets for report/PPT	docs/exp/v5/4_reporting/01_figures/generated/figure_manifest.tsv; docs/exp/v5/4_reporting/01_figures/generated/captions.md; docs/exp/v5/4_reporting/01_figures/generated/figure_01_experiment_pipeline.png; docs/exp/v5/4_reporting/01_figures/generated/figure_01_experiment_pipeline.svg; docs/exp/v5/4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.png; docs/exp/v5/4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.svg; docs/exp/v5/4_reporting/01_figures/generated/figure_03_zero_step_initialization.png; docs/exp/v5/4_reporting/01_figures/generated/figure_03_zero_step_initialization.svg; docs/exp/v5/4_reporting/01_figures/generated/figure_05_evaluation_coverage.png; docs/exp/v5/4_reporting/01_figures/generated/figure_05_evaluation_coverage.svg	regenerate figures with scripts/refresh_v5_reporting.py --with-plots when source data changes
report/PPT evidence synchronization	ready	section-to-slide-to-evidence crosswalk for final assembly	docs/exp/v5/4_reporting/report_slide_crosswalk.md	keep report_slide_crosswalk.md synchronized after result promotion
citation and source boundaries	ready	BibTeX references, paper claim-to-citation map, external source verification, and slide citation map	docs/exp/v5/4_reporting/03_final_report/references.bib; docs/exp/v5/4_reporting/03_final_report/citation_source_map.md; docs/exp/v5/4_reporting/03_final_report/external_source_verification.md; docs/exp/v5/4_reporting/02_slides/slide_citation_map.md	keep citation maps synchronized when related-work or slide claims change
paper-style final report package	execution_draft_ready	Report.md, paper_draft.md, paper_draft_ko.md, claim ledger, reproducibility appendix	docs/exp/v5/Report.md; docs/exp/v5/4_reporting/03_final_report/paper_draft.md; docs/exp/v5/4_reporting/03_final_report/paper_draft_ko.md; docs/exp/v5/4_reporting/03_final_report/reproducibility_appendix.md; docs/exp/v5/4_reporting/03_final_report/claim_ledger.md	replace pending result language only from measured artifacts
PPT content and presenter package	execution_draft_ready	ppt_content, final_deck_ko, Korean presenter script, claim checklist, defense Q&A	docs/exp/v5/4_reporting/02_slides/ppt_content.md; docs/exp/v5/4_reporting/02_slides/final_deck_ko.md; docs/exp/v5/4_reporting/02_slides/presenter_script_ko.md; docs/exp/v5/4_reporting/02_slides/slide_claim_checklist.md; docs/exp/v5/4_reporting/02_slides/defense_qa.md	update slides 11/12/14 after final v5 rows arrive
presentation defense and rehearsal package	execution_draft_ready	presenter script, rehearsal plan, English/Korean defense Q&A, novelty defense matrix, reviewer crosswalk, acceptance rubric, and action dashboard	docs/exp/v5/4_reporting/02_slides/presenter_script_ko.md; docs/exp/v5/4_reporting/02_slides/rehearsal_plan_ko.md; docs/exp/v5/4_reporting/02_slides/defense_qa.md; docs/exp/v5/4_reporting/02_slides/defense_qa_ko.md; docs/exp/v5/4_reporting/02_slides/novelty_defense_matrix_ko.md; docs/exp/v5/4_reporting/reviewer_response_crosswalk_ko.md; docs/exp/v5/4_reporting/final_goal_acceptance_rubric_ko.md; docs/exp/v5/4_reporting/final_action_dashboard_ko.md	refresh Q&A and rehearsal wording after final claim decision tree selects an outcome
rendered report/PPT handoff artifacts	missing	HTML/PDF paper artifacts, HTML/PPTX/PDF deck artifacts, and release bundle manifest	rendered=docs/exp/v5/4_reporting/03_final_report/paper_draft.html; docs/exp/v5/4_reporting/03_final_report/paper_draft.pdf; docs/exp/v5/4_reporting/03_final_report/paper_draft_ko.html; docs/exp/v5/4_reporting/03_final_report/paper_draft_ko.pdf; docs/exp/v5/4_reporting/02_slides/v5_final_deck_ko.html; docs/exp/v5/4_reporting/02_slides/v5_final_deck_ko.pptx; docs/exp/v5/4_reporting/02_slides/v5_final_deck_ko.pdf; release_audit=release_bundle_audit_needs_repair	regenerate with scripts/refresh_v5_reporting.py after any report/PPT source or result change
